time,temperature_2m,precipitation
2023-01-01 00:00:00,9.7,0.0
2023-01-01 01:00:00,8.6,0.0
2023-01-01 02:00:00,8.2,0.0
2023-01-01 03:00:00,7.6,0.0
2023-01-01 04:00:00,6.8,0.0
2023-01-01 05:00:00,6.4,0.0
2023-01-01 06:00:00,6.7,0.0
2023-01-01 07:00:00,6.2,0.0
2023-01-01 08:00:00,6.0,0.0
2023-01-01 09:00:00,6.7,0.0
2023-01-01 10:00:00,9.6,0.0
2023-01-01 11:00:00,13.9,0.0
2023-01-01 12:00:00,15.4,0.0
2023-01-01 13:00:00,16.1,0.0
2023-01-01 14:00:00,16.6,0.0
2023-01-01 15:00:00,16.3,0.0
2023-01-01 16:00:00,15.9,0.0
2023-01-01 17:00:00,14.2,0.0
2023-01-01 18:00:00,14.0,0.0
2023-01-01 19:00:00,13.1,0.0
2023-01-01 20:00:00,11.2,0.0
2023-01-01 21:00:00,8.9,0.0
2023-01-01 22:00:00,8.6,0.0
2023-01-01 23:00:00,8.7,0.0
2023-01-02 00:00:00,9.0,0.0
2023-01-02 01:00:00,8.8,0.0
2023-01-02 02:00:00,8.9,0.0
2023-01-02 03:00:00,9.0,0.0
2023-01-02 04:00:00,8.2,0.0
2023-01-02 05:00:00,7.2,0.0
2023-01-02 06:00:00,6.7,0.0
2023-01-02 07:00:00,6.6,0.0
2023-01-02 08:00:00,7.0,0.0
2023-01-02 09:00:00,7.6,0.0
2023-01-02 10:00:00,9.6,0.0
2023-01-02 11:00:00,12.5,0.0
2023-01-02 12:00:00,15.3,0.0
2023-01-02 13:00:00,15.5,0.0
2023-01-02 14:00:00,16.1,0.0
2023-01-02 15:00:00,16.3,0.0
2023-01-02 16:00:00,15.3,0.0
2023-01-02 17:00:00,13.1,0.0
2023-01-02 18:00:00,12.1,0.0
2023-01-02 19:00:00,11.6,0.0
2023-01-02 20:00:00,10.7,0.0
2023-01-02 21:00:00,10.2,0.0
2023-01-02 22:00:00,10.4,0.0
2023-01-02 23:00:00,10.1,0.0
2023-01-03 00:00:00,9.8,0.0
2023-01-03 01:00:00,11.2,0.0
2023-01-03 02:00:00,10.5,0.0
2023-01-03 03:00:00,10.2,0.1
2023-01-03 04:00:00,9.8,0.0
2023-01-03 05:00:00,9.2,0.0
2023-01-03 06:00:00,8.8,0.0
2023-01-03 07:00:00,8.5,0.0
2023-01-03 08:00:00,9.1,0.0
2023-01-03 09:00:00,9.5,0.0
2023-01-03 10:00:00,11.1,0.0
2023-01-03 11:00:00,12.9,0.0
2023-01-03 12:00:00,14.8,0.1
2023-01-03 13:00:00,14.4,0.0
2023-01-03 14:00:00,15.5,0.0
2023-01-03 15:00:00,16.1,0.0
2023-01-03 16:00:00,15.9,0.1
2023-01-03 17:00:00,14.4,0.0
2023-01-03 18:00:00,11.3,0.0
2023-01-03 19:00:00,10.9,0.0
2023-01-03 20:00:00,8.9,0.0
2023-01-03 21:00:00,8.9,0.0
2023-01-03 22:00:00,8.6,0.0
2023-01-03 23:00:00,8.5,0.0
2023-01-04 00:00:00,8.3,0.0
2023-01-04 01:00:00,8.4,0.0
2023-01-04 02:00:00,8.2,0.0
2023-01-04 03:00:00,7.8,0.0
2023-01-04 04:00:00,7.5,0.0
2023-01-04 05:00:00,7.2,0.0
2023-01-04 06:00:00,7.2,0.0
2023-01-04 07:00:00,6.9,0.0
2023-01-04 08:00:00,6.6,0.0
2023-01-04 09:00:00,6.6,0.0
2023-01-04 10:00:00,7.8,0.0
2023-01-04 11:00:00,10.2,0.0
2023-01-04 12:00:00,13.0,0.0
2023-01-04 13:00:00,15.3,0.0
2023-01-04 14:00:00,15.9,0.0
2023-01-04 15:00:00,16.0,0.0
2023-01-04 16:00:00,15.2,0.0
2023-01-04 17:00:00,13.4,0.0
2023-01-04 18:00:00,10.6,0.0
2023-01-04 19:00:00,9.0,0.0
2023-01-04 20:00:00,8.2,0.0
2023-01-04 21:00:00,7.9,0.0
2023-01-04 22:00:00,7.5,0.0
2023-01-04 23:00:00,7.1,0.0
2023-01-05 00:00:00,6.9,0.0
2023-01-05 01:00:00,6.8,0.0
2023-01-05 02:00:00,6.2,0.0
2023-01-05 03:00:00,5.6,0.0
2023-01-05 04:00:00,5.2,0.0
2023-01-05 05:00:00,4.9,0.0
2023-01-05 06:00:00,4.9,0.0
2023-01-05 07:00:00,5.0,0.0
2023-01-05 08:00:00,4.7,0.0
2023-01-05 09:00:00,5.0,0.0
2023-01-05 10:00:00,7.7,0.0
2023-01-05 11:00:00,10.8,0.0
2023-01-05 12:00:00,13.3,0.0
2023-01-05 13:00:00,15.2,0.0
2023-01-05 14:00:00,16.0,0.0
2023-01-05 15:00:00,15.9,0.0
2023-01-05 16:00:00,15.1,0.0
2023-01-05 17:00:00,13.0,0.0
2023-01-05 18:00:00,9.3,0.0
2023-01-05 19:00:00,8.1,0.0
2023-01-05 20:00:00,7.6,0.0
2023-01-05 21:00:00,6.6,0.0
2023-01-05 22:00:00,6.0,0.0
2023-01-05 23:00:00,5.5,0.0
