date,temp_min,temp_max,temp_mean,temp_std,precip_total,precip_max_hourly,precip_hours,temp_range,precip_category
2024-10-01,16.3,24.5,20.15,3.0,0.0,0.0,24,8.2,No Rain
2024-10-02,17.2,23.5,19.43,2.08,15.5,3.1,24,6.300000000000001,Heavy Rain
2024-10-03,15.0,23.0,18.13,2.94,26.8,7.9,24,8.0,Storm
2024-10-04,13.6,21.9,17.13,2.87,0.2,0.2,24,8.299999999999999,Light Rain
2024-10-05,11.6,22.5,17.28,3.36,0.1,0.1,24,10.9,No Rain
2024-10-06,14.3,26.4,19.75,4.41,0.0,0.0,24,12.099999999999998,No Rain
2024-10-07,17.0,25.3,20.8,2.92,1.6,1.6,24,8.3,Light Rain
2024-10-08,16.1,24.1,19.95,2.62,3.7,1.6,24,8.0,Light Rain
2024-10-09,15.5,24.3,20.68,3.11,0.2,0.1,24,8.8,Light Rain
2024-10-10,15.0,22.9,18.94,2.49,0.0,0.0,24,7.899999999999999,No Rain
2024-10-11,14.1,21.8,16.94,2.47,0.1,0.1,24,7.700000000000001,No Rain
2024-10-12,14.3,22.4,18.38,2.84,1.9,0.5,24,8.099999999999998,Light Rain
2024-10-13,14.6,22.4,18.42,2.86,0.0,0.0,24,7.799999999999999,No Rain
2024-10-14,16.3,24.0,19.96,2.67,0.0,0.0,24,7.699999999999999,No Rain
2024-10-15,17.8,23.1,20.45,1.47,7.2,3.0,24,5.300000000000001,Moderate Rain
2024-10-16,16.3,24.1,19.94,2.61,12.5,7.9,24,7.800000000000001,Heavy Rain
2024-10-17,15.1,21.7,18.62,1.98,5.4,1.4,24,6.6,Moderate Rain
2024-10-18,12.6,19.9,15.91,2.58,0.1,0.1,24,7.299999999999999,No Rain
2024-10-19,9.8,21.2,15.03,3.91,0.0,0.0,24,11.399999999999999,No Rain
2024-10-20,11.9,23.9,17.32,4.36,0.0,0.0,24,11.999999999999998,No Rain
2024-10-21,14.0,22.9,17.93,3.33,0.0,0.0,24,8.899999999999999,No Rain
2024-10-22,13.5,22.2,17.57,2.92,0.1,0.1,24,8.7,No Rain
2024-10-23,13.7,22.3,17.4,2.98,0.0,0.0,24,8.600000000000001,No Rain
2024-10-24,13.2,21.8,16.82,2.99,0.3,0.1,24,8.600000000000001,Light Rain
